hf_id,hf_name,indicator,iqr,sd,ttt
WBImpeuk4jO,Bizra Health Post,mcv1,1.0,1.0,1.0
bxtPyAsreiJ,Mugechit Health Post,mcv1,1.0,1.0,1.0
cNNIudELigf,Ambo Kara Health Post,penta3,0.0,0.0,0.0
yU2XOvfk4oN,Debre Zeit Kuchit Health Post,rota2,0.0,0.0,0.0
l531tJEgokx,Merewa Health Post,full_vacc,2.0,0.0,1.0
AboDn7J72Dr,Yiganda Health Post,bcg,0.0,0.0,0.0
Vz5iG6elzyH,Lewaye Health Center,ipv,0.0,0.0,0.0
Vz5iG6elzyH,Lewaye Health Center,penta1,1.0,0.0,1.0
gUY6v754Tnk,Defrgie Health Post,mcv1,0.0,0.0,0.0
j20iqdEX1zI,Benat Health Post,penta1,3.0,1.0,2.0
IUWoR8BUStT,yenechoh Health Post,mcv1,0.0,0.0,0.0
dQkGkzZ78vv,Shura Health Post,ipv,1.0,1.0,1.0
dQkGkzZ78vv,Shura Health Post,penta1,0.0,0.0,1.0
lis6keYYh8F,Aregaye Health Post,penta3,1.0,1.0,1.0
fpPAlio7XQ6,Leget Health Post,penta3,0.0,0.0,1.0
fpPAlio7XQ6,Leget Health Post,full_vacc,0.0,0.0,0.0
b1PYIKYgAny,Sefra Aleka,rota2,0.0,0.0,0.0
jRGJwfsGe4r,Shime Health post,penta3,0.0,0.0,1.0
csIfH1ptu2v,Chendefo Health Post,ipv,0.0,0.0,0.0
csIfH1ptu2v,Chendefo Health Post,penta1,3.0,0.0,0.0
mxoFm8JH7RF,May Doge Health Post,mcv1,0.0,0.0,1.0
XF8z3rgXfER,Dildiye Health Center,penta1,0.0,0.0,0.0
vllUNMgU7Cz,Ateta Health Post,bcg,0.0,0.0,0.0
PCHJJ3nRSGt,Chihna Health Post,bcg,0.0,0.0,1.0
HcPQE6fbp7M,Yedeno Health Post,mcv1,0.0,0.0,0.0
FkjyYQ3SyiJ,Geregera Health Post,bcg,0.0,0.0,1.0
YOdUrZxOqIh,Selelkula Health Post,bcg,0.0,0.0,0.0
T8IUH0GtyEq,Birbuaks Health Post,penta3,0.0,0.0,1.0
KXdASeLph4G,Birra Health Post,full_vacc,0.0,1.0,1.0
peZ0gTZ42Yj,Bere Ager Health Center,penta3,0.0,0.0,0.0
IlaEvMgiiBu,Shumige Health Post,full_vacc,1.0,0.0,1.0
t6iaFgusthL,Soma Health Post,bcg,0.0,0.0,0.0
Tk8osCeWdik,Agissa Health Post,mcv1,0.0,1.0,1.0
yEBgEyhr3UM,Hamusit Health Center,ipv,0.0,0.0,0.0
yEBgEyhr3UM,Hamusit Health Center,penta1,0.0,0.0,0.0
ZSkY1a2ZANz,Debre Zeit Health Post,penta3,0.0,0.0,0.0
xyomq9SxpBh,Dinat Health Post,rota2,0.0,0.0,0.0
b18DC1RTgSb,Geter meda Health Center,rota2,0.0,0.0,0.0
uoG7rDyR0Ih,Nabramicael Health Post,bcg,0.0,1.0,1.0
afcv5KVllV1,darat Health Post,mcv1,0.0,0.0,0.0
WSCugEhZz5F,Finewa Health Post,ipv,0.0,0.0,1.0
WSCugEhZz5F,Finewa Health Post,penta1,0.0,0.0,0.0
t5Yik2ZRoi5,Ella Health Post,mcv1,0.0,0.0,1.0
pSUd1Dlnr73,Magesa Health Post,penta3,0.0,0.0,2.0
NO50r0Jry2F,Shinkurta Health Post,penta3,0.0,0.0,0.0
NO50r0Jry2F,Shinkurta Health Post,full_vacc,0.0,0.0,0.0
PPblQxV3z6b,Surta Health Center,ipv,0.0,0.0,0.0
PPblQxV3z6b,Surta Health Center,rota2,0.0,0.0,0.0
zsVDKcVZR6N,Chid Mariam Health Post,mcv1,2.0,1.0,2.0
nTSBh6fwecZ,yelen Health Post,rota2,0.0,0.0,0.0
Sa37crweHHZ,WOUBIT GOLA Health Post,mcv1,0.0,0.0,0.0
VyzsrZNrQic,Jangua Health Post,ipv,0.0,1.0,1.0
VyzsrZNrQic,Jangua Health Post,penta1,0.0,0.0,1.0
xWKJT8WMjVy,Gurach Dibkan Health Post,full_vacc,0.0,0.0,0.0
sASvRL5SWeg,Zeblo Health Post,mcv1,2.0,1.0,1.0
WdHbQ89CBqD,Marye Health Center,mcv1,0.0,0.0,1.0
ZFqzLugY3mb,Felwuha Health Post,bcg,1.0,0.0,1.0
mgpuZIRtF1h,Debre Birhan Health Center,full_vacc,1.0,1.0,1.0
tXVfBhzNNI6,Teber serako Health Post,full_vacc,2.0,1.0,1.0
CyKfrICtwAQ,Daval Health Center,penta1,0.0,0.0,1.0
XLrwsC9g2jj,Delimo Healt Post Health Post,bcg,0.0,0.0,0.0
PWC8sj9VWo4,Abune Semira Health Center,rota2,0.0,0.0,0.0
GVQBkO17YFJ,Kombolcha Health Post,ipv,0.0,1.0,1.0
GVQBkO17YFJ,Kombolcha Health Post,penta1,0.0,0.0,1.0
epxMk33cuFY,Zow Mariam Health Center,bcg,0.0,0.0,0.0
tlLqzYM142W,Anchikorere Health Center,mcv1,0.0,0.0,0.0
I2paIEtwc5G,Addisgie Health Post,penta1,0.0,0.0,1.0
IpxMQgbk2fT,Kalo Health Post,rota2,0.0,0.0,0.0
touDLbJ4SQq,Dream Care General Hospital,bcg,0.0,0.0,0.0
kThPdO2mKSr,Selamgie Ambare Health Post,mcv1,0.0,0.0,0.0
KD6D7IgXEuE,Kibeza Health Post,mcv1,1.0,1.0,1.0
L9vuhwDziAg,Kolate Health Post,penta3,2.0,1.0,1.0
L9vuhwDziAg,Kolate Health Post,full_vacc,1.0,1.0,1.0
q2OE6qb3yzf,Atrons Health Post,mcv1,0.0,0.0,1.0
COf2UPEzbFc,Dir Mara Health Post,mcv1,0.0,0.0,0.0
do2ghozX5JO,Gelila Health Post,mcv1,0.0,0.0,1.0
h9zpSOWSjoB,Arbaya Health Center,bcg,0.0,1.0,1.0
Aa6M4qg8WoO,Abibe Debre Kuskuam Health Post,ipv,0.0,0.0,0.0
Aa6M4qg8WoO,Abibe Debre Kuskuam Health Post,penta1,3.0,0.0,0.0
qejcg7cno9g,Degosach Health Post,mcv1,0.0,0.0,0.0
b3nBEpFiGAZ,Shinfa Health Post,bcg,0.0,0.0,1.0
vIEBMkSJ9fr,Arbisi Health Post,rota2,1.0,1.0,2.0
Jz5etzmvLss,Tikr seleh Health Post,ipv,0.0,0.0,0.0
Jz5etzmvLss,Tikr seleh Health Post,rota2,1.0,0.0,1.0
bD4DzWz7UG2,Arbawayo Health Post,ipv,0.0,0.0,0.0
bD4DzWz7UG2,Arbawayo Health Post,rota2,0.0,0.0,0.0
qMAF6kuuNwu,Koki Health Center,penta3,0.0,0.0,1.0
qMAF6kuuNwu,Koki Health Center,rota2,0.0,0.0,0.0
ByQIgPL2Fgs,Silasie Health Post,ipv,0.0,0.0,0.0
ByQIgPL2Fgs,Silasie Health Post,penta1,0.0,1.0,1.0
vbNJggIXCls,Zenzen Health Post,mcv1,0.0,0.0,0.0
k7QT7dNCHSP,Buasmano Health Post,penta1,0.0,1.0,1.0
Jz5kKzWdDzY,Seriya Health Post,mcv1,0.0,0.0,0.0
PGVSnQwF8CE,Felekelek 1 Health Post,full_vacc,2.0,0.0,1.0
q3aMrOpErbA,Gologota Health Post,full_vacc,0.0,0.0,1.0
l1ZMmCWBng2,Abrjiha Health Post,bcg,0.0,0.0,0.0
EHnsN1HHwuC,Maya Health Post,mcv1,0.0,0.0,0.0
sUt7jfmcXP9,Agazenmeda Health Post,mcv1,0.0,0.0,0.0
htEXteDgxzl,akermit Health Post,ipv,0.0,0.0,1.0
htEXteDgxzl,akermit Health Post,penta1,0.0,0.0,0.0
zRbwwxFLRZh,Das health post,mcv1,0.0,0.0,0.0
oI9VAmaSK9P,Fenta Health Post,rota2,0.0,0.0,0.0
r1l4ClWjYXR,Rib Gebireal Health Post,mcv1,0.0,1.0,1.0
vGc3xFYC0dx,Enesa Health Post,mcv1,0.0,0.0,0.0
bdLBQvOsXTp,Delgi Primary Hospital,mcv1,0.0,0.0,1.0
HaStIzYo1tG,Mekuamia Health Post,rota2,0.0,1.0,1.0
nfJG4IFI6yd,Kob Health Center,penta3,0.0,0.0,0.0
pYxQge6aO1j,Awasha Health Post,bcg,0.0,0.0,0.0
elMDYI1OPiM,Shalo Health Post,mcv1,0.0,0.0,0.0
MV0Pgp8NNy0,Kes Kebele Health Post,ipv,3.0,1.0,1.0
MV0Pgp8NNy0,Kes Kebele Health Post,penta1,3.0,1.0,1.0
UBjmIkNifOF,Woybeyign Health Post,bcg,1.0,1.0,1.0
eRxXYESMXJ2,Tayat Health Post,penta3,1.0,1.0,1.0
eRxXYESMXJ2,Tayat Health Post,rota2,1.0,1.0,1.0
aFn019KJP5F,Wongeta Health Center,mcv1,0.0,0.0,0.0
OdlBMbLIF8r,Dacha Health Post,mcv1,2.0,0.0,2.0
c3mp6ybpmOC,Afkera Health Post,penta3,1.0,0.0,1.0
U2LR7mg3lNH,Tesfaye Getachew Memorial Primary Hospital,mcv1,0.0,0.0,0.0
PUKjNnODhq5,Jibasera Health Post,full_vacc,0.0,0.0,1.0
CZMjXulvkaF,Derensa Health Post,mcv1,0.0,0.0,0.0
kixd3iFHNuO,Woyn Wuha Health Center,full_vacc,0.0,0.0,0.0
z4s0pOr8Tj9,Sigon Health Post,mcv1,2.0,0.0,2.0
RTTvIBE6yCI,Mehago Health Post,rota2,0.0,0.0,0.0
jjbEftPgsH3,Shewarobit Health Center,rota2,2.0,1.0,2.0
k1N4Fl5IddE,Arara Kidan Mhret Health Post,rota2,1.0,1.0,1.0
AgwFXi6Qh7K,Miyo Health Post,mcv1,0.0,0.0,0.0
QH2WEeoWo7X,Lengwate Health Post,rota2,0.0,0.0,2.0
tW39gFZMhhR,Weyo Felana Health Center,mcv1,0.0,0.0,0.0
zkUZREKyOfM,Biragawida Health Post,mcv1,1.0,1.0,1.0
gx58WVJ6PM2,Gosheye Health Post,bcg,0.0,0.0,0.0
WcFml2LAg7b,Tikana Health Post,penta1,0.0,0.0,1.0
qkUXaWxTFKm,Ahila Health Post,rota2,0.0,0.0,0.0
I66ENJeZVv6,Boda Health Post,rota2,0.0,1.0,1.0
XbpINeWe9HQ,Amayo Health Post,penta1,0.0,0.0,1.0
UNNvmX2tGK3,Guay Health Center,mcv1,0.0,0.0,0.0
NYPs1nvDdMg,Ayiseg Health Center,full_vacc,0.0,0.0,0.0
DWMZYSwDxAl,Ariga Health Post,bcg,2.0,1.0,1.0
XobOrjV7CBq,Adisegie Health Post,mcv1,1.0,1.0,1.0
W4OkqHTVR9Z,Kewula Health Post,rota2,0.0,0.0,0.0
HjMKXLehe0c,Yamed Health Post,penta3,1.0,1.0,1.0
HjMKXLehe0c,Yamed Health Post,rota2,0.0,0.0,1.0
CnK7pdN4agW,Kidsite Hana Health Post,ipv,0.0,1.0,1.0
CnK7pdN4agW,Kidsite Hana Health Post,penta1,0.0,0.0,0.0
W4nUuRw4ShQ,Korenchi Health Post,mcv1,0.0,1.0,1.0
kgcf7b6B55M,Jemedo Health Post,rota2,0.0,0.0,0.0
Pv8W2BZi82x,Yewereda Wejet Health Post,bcg,0.0,1.0,1.0
csCNGVwc7XK,Mara Health Post,ipv,1.0,1.0,1.0
csCNGVwc7XK,Mara Health Post,penta1,0.0,1.0,1.0
pcESOKqrX6a,Kasima Health Post,full_vacc,0.0,1.0,1.0
yxTIBjRKyQu,Betyohannis Health Post,full_vacc,0.0,0.0,1.0
vW2b046j8VJ,Kurba Health Center,penta3,0.0,0.0,1.0
SU47V1vF9zS,Keweziba Health Post,mcv1,0.0,1.0,1.0
zZepjI7AgND,Digustan Health Post,bcg,0.0,0.0,0.0
oKXsYduXIJS,Chara Health Center,mcv1,0.0,0.0,1.0
IwsGusne4r9,Zibie Health Post,mcv1,3.0,1.0,1.0
Ek5gCPomvHt,kon 01 Geter Health Post,bcg,1.0,1.0,1.0
Lyj3pCL8rZv,Miramir Health post,mcv1,0.0,0.0,1.0
xdOiYFThc37,Tarie Health Center,penta1,2.0,0.0,1.0
iB4m7Ht6LvA,Kurkur Solola Health Post ,full_vacc,1.0,1.0,1.0
