level,period,year,month,month_code,indicator,iqr,zscore,ttt
6,2015-09,2015.0,September,09,rota2,54.0,41.0,94.0
6,2013-12,2013.0,December,12,full_vacc,21.0,17.0,40.0
5,2015-05,2015.0,May,05,ipv,1.0,1.0,3.0
5,2015-09,2015.0,September,09,ipv,2.0,1.0,2.0
5,2014-08,2014.0,August,08,penta1,2.0,1.0,1.0
5,2015-08,2015.0,August,08,penta1,0.0,1.0,1.0
5,2014-07,2014.0,July,07,penta3,4.0,5.0,6.0
5,2015-06,2015.0,June,06,penta3,0.0,1.0,2.0
5,2014-01,2014.0,January,01,mcv1,0.0,0.0,1.0
5,2014-12,2014.0,December,12,mcv1,0.0,0.0,1.0
5,2015-02,2015.0,February,02,mcv1,0.0,0.0,0.0
5,2015-04,2015.0,April,04,mcv1,4.0,3.0,3.0
5,2013-11,2013.0,November,11,rota2,0.0,0.0,1.0
5,2014-03,2014.0,March,03,rota2,0.0,0.0,4.0
5,2014-04,2014.0,April,04,rota2,1.0,0.0,1.0
5,2014-09,2014.0,September,09,rota2,0.0,0.0,1.0
5,2014-11,2014.0,November,11,rota2,0.0,0.0,0.0
5,2014-01,2014.0,January,01,full_vacc,0.0,0.0,1.0
5,2014-10,2014.0,October,10,full_vacc,3.0,3.0,9.0
5,2014-12,2014.0,December,12,full_vacc,0.0,0.0,1.0
5,2015-02,2015.0,February,02,full_vacc,0.0,0.0,0.0
5,2015-04,2015.0,April,04,full_vacc,4.0,3.0,3.0
4,2015-07,2015.0,July,07,bcg,0.0,0.0,3.0
4,2014-08,2014.0,August,08,ipv,2.0,3.0,4.0
4,2014-05,2014.0,May,05,penta1,0.0,0.0,0.0
4,2014-07,2014.0,July,07,penta1,0.0,0.0,3.0
4,2015-07,2015.0,July,07,penta1,0.0,2.0,4.0
4,2015-08,2015.0,August,08,penta1,0.0,0.0,0.0
4,2013-12,2013.0,December,12,penta3,0.0,0.0,0.0
4,2014-09,2014.0,September,09,penta3,0.0,0.0,0.0
4,2014-11,2014.0,November,11,penta3,0.0,0.0,1.0
4,2015-05,2015.0,May,05,penta3,0.0,0.0,0.0
4,2014-03,2014.0,March,03,mcv1,1.0,0.0,1.0
4,2015-04,2015.0,April,04,mcv1,0.0,0.0,1.0
4,2015-09,2015.0,September,09,mcv1,0.0,0.0,2.0
4,2014-10,2014.0,October,10,rota2,0.0,0.0,1.0
4,2015-02,2015.0,February,02,rota2,1.0,0.0,1.0
4,2014-03,2014.0,March,03,full_vacc,1.0,0.0,1.0
4,2015-04,2015.0,April,04,full_vacc,0.0,0.0,0.0
6,2014-02,2014.0,February,02,bcg,27.0,16.0,48.0
6,2014-09,2014.0,September,09,bcg,114.0,59.0,138.0
6,2014-04,2014.0,April,04,ipv,36.0,24.0,77.0
6,2014-10,2014.0,October,10,ipv,239.0,180.0,335.0
6,2014-11,2014.0,November,11,ipv,41.0,24.0,65.0
6,2013-11,2013.0,November,11,penta1,48.0,37.0,97.0
6,2015-01,2015.0,January,01,penta1,35.0,30.0,85.0
6,2014-01,2014.0,January,01,penta3,34.0,16.0,60.0
6,2015-09,2015.0,September,09,penta3,85.0,59.0,132.0
6,2014-01,2014.0,January,01,mcv1,29.0,18.0,53.0
6,2014-10,2014.0,October,10,mcv1,232.0,164.0,319.0
6,2013-11,2013.0,November,11,full_vacc,23.0,20.0,62.0
6,2014-06,2014.0,June,06,full_vacc,126.0,73.0,141.0
5,2014-08,2014.0,August,08,bcg,0.0,0.0,0.0
