region,hf_id,hf_name,indicator,iqr,zscore,ttt
Amhara Regional Health Bureau,lB60iu3D4aC,Leul Alemayehu Health Center,penta1,0.0,0.0,0.0
Amhara Regional Health Bureau,Sa6xOs5T6E6,Warkaye Health Post,penta1,0.0,0.0,1.0
Amhara Regional Health Bureau,JNZerPYdAt0,Mideraro Health Post,penta1,0.0,0.0,0.0
Amhara Regional Health Bureau,vml8Owq8hHi,Abawuram Health Post,penta1,2.0,1.0,1.0
Amhara Regional Health Bureau,ssjDmBuAylA,Wudmen Health Post,mcv1,1.0,1.0,1.0
Amhara Regional Health Bureau,NUPeV7jYmn1,Habtegaho health center,penta1,0.0,1.0,1.0
Amhara Regional Health Bureau,Ut1YJ8STLpL,Ataye Primary Hospital,bcg,NaN,NaN,NaN
Amhara Regional Health Bureau,Ut1YJ8STLpL,Ataye Primary Hospital,full_vacc,NaN,NaN,NaN
Amhara Regional Health Bureau,VXIAUDFfHf4,Enegade Health Center,penta3,0.0,0.0,0.0
Amhara Regional Health Bureau,WQbcqcOlfuj,Selama health post,rota2,0.0,0.0,0.0
Amhara Regional Health Bureau,v9itwBmEHle,Geshober Health Post,rota2,2.0,1.0,1.0
Amhara Regional Health Bureau,PzJEeWJ3hhQ,Shimie Health Post,rota2,0.0,1.0,1.0
Amhara Regional Health Bureau,LkEdQRyV0sL,Adet,bcg,2.0,1.0,1.0
Amhara Regional Health Bureau,LkEdQRyV0sL,Adet,penta3,0.0,0.0,1.0
Amhara Regional Health Bureau,AkivnIOXAXV,Tach Ambie Health Post,penta1,2.0,0.0,1.0
Amhara Regional Health Bureau,IaT4P1uUOyS,Doyo Health Post,full_vacc,0.0,0.0,0.0
Amhara Regional Health Bureau,F9iMX7eMrYp,Niquara Health Post,rota2,0.0,0.0,0.0
Amhara Regional Health Bureau,vLAXGNCony5,Shegaw Motta General Hospital,bcg,0.0,0.0,0.0
Amhara Regional Health Bureau,vLAXGNCony5,Shegaw Motta General Hospital,full_vacc,0.0,0.0,1.0
Amhara Regional Health Bureau,LjnmwDwZhBB,Atsdas Health Post,rota2,NaN,NaN,NaN
Amhara Regional Health Bureau,FkjyYQ3SyiJ,Geregera Health Post,rota2,1.0,1.0,1.0
Amhara Regional Health Bureau,gESALBxGz0N,Jersa Health Post,penta1,3.0,0.0,1.0
Amhara Regional Health Bureau,VkJtvH1xMbG,Tarashahura Health Post,penta3,0.0,0.0,1.0
Amhara Regional Health Bureau,zCz6pIEqjig,Cherecha Health Post,penta1,1.0,1.0,1.0
Amhara Regional Health Bureau,DpUl2hABIJ5,Wawucha Health Post,full_vacc,0.0,1.0,1.0
Amhara Regional Health Bureau,sOKqZOAmjvp,Moyamangulet Health Post,bcg,1.0,1.0,1.0
Amhara Regional Health Bureau,pm1XHwOumbz,Deretema Health Post,penta1,0.0,0.0,1.0
Amhara Regional Health Bureau,WyRli7yaWh2,Beteliham Health Center,penta1,NaN,NaN,NaN
Amhara Regional Health Bureau,gN7khCrvDxy,Ajja Health Center,ipv,NaN,NaN,NaN
Amhara Regional Health Bureau,A0h4zkXHorE,Arushe Wankate Health Post,rota2,1.0,0.0,1.0
Amhara Regional Health Bureau,UPEZvMqyXdQ,Sazuri Dimela Health Post,bcg,NaN,NaN,NaN
Amhara Regional Health Bureau,UPEZvMqyXdQ,Sazuri Dimela Health Post,penta3,0.0,0.0,1.0
Amhara Regional Health Bureau,J4R221qqB0W,Dara Health Center,full_vacc,0.0,0.0,1.0
Amhara Regional Health Bureau,HEKno2EXnPP,Finjet Health Post,penta1,0.0,0.0,1.0
Amhara Regional Health Bureau,jxWC3pdZKGe,Dibi Health Post ,ipv,2.0,0.0,1.0
Amhara Regional Health Bureau,jxWC3pdZKGe,Dibi Health Post ,penta1,2.0,0.0,1.0
Amhara Regional Health Bureau,tOzriRNVfvh,Mizan Health Post,penta3,0.0,0.0,0.0
Amhara Regional Health Bureau,IvwfAWNyKtM,Lencha Health Post,penta3,0.0,0.0,0.0
Amhara Regional Health Bureau,QTZqHeQrm7i,Finanajo Health Post,penta1,0.0,0.0,1.0
Amhara Regional Health Bureau,HNowRsSvy0t,Chago Health Post,penta1,0.0,0.0,0.0
Amhara Regional Health Bureau,Zc5L1KthD0Y,Wena Health Post,bcg,NaN,NaN,NaN
Amhara Regional Health Bureau,Zc5L1KthD0Y,Wena Health Post,penta3,0.0,0.0,0.0
Amhara Regional Health Bureau,G89dv58cW1U,Nuor General Hospital,penta3,NaN,NaN,NaN
Amhara Regional Health Bureau,avjbc439Egh,Chachena yisata Health Post,mcv1,2.0,1.0,1.0
Amhara Regional Health Bureau,mY9hDsai5Us,Wonchet Health Post,ipv,0.0,0.0,1.0
Amhara Regional Health Bureau,SKuA3eNTpzm,Ashem Ager Health Post,ipv,NaN,NaN,NaN
Amhara Regional Health Bureau,VCcVG1X7AzW,Yeduha Zuria Health Post,bcg,0.0,0.0,0.0
Amhara Regional Health Bureau,VCcVG1X7AzW,Yeduha Zuria Health Post,penta3,0.0,0.0,0.0
Amhara Regional Health Bureau,SqZNjRJHxJB,Mahine Health Post,bcg,0.0,0.0,1.0
Amhara Regional Health Bureau,SqZNjRJHxJB,Mahine Health Post,penta3,2.0,0.0,2.0
Amhara Regional Health Bureau,v3GiQh23GDY,Kirakir Health Center,ipv,0.0,0.0,0.0
Amhara Regional Health Bureau,tByn7LNu8yp,kener Health Post,full_vacc,0.0,0.0,0.0
Amhara Regional Health Bureau,isjSycL5Ej5,Meshira Health Center,full_vacc,NaN,NaN,NaN
Amhara Regional Health Bureau,mhoQU76Qs2H,Abiyot Chora Health Center,ipv,0.0,0.0,0.0
Amhara Regional Health Bureau,ybdi2B6xhtW,Alhuoay  Health Post,rota2,1.0,1.0,1.0
Amhara Regional Health Bureau,vMFrxUCHA3c,Charasekela Health Post,rota2,0.0,0.0,0.0
Amhara Regional Health Bureau,WJxz3HZG98J,Kidisge Health Center,rota2,NaN,NaN,NaN
Amhara Regional Health Bureau,qprrp8sPfTH,Atarimesk Health Post,penta3,1.0,1.0,1.0
Amhara Regional Health Bureau,FPeX4Gq4cBJ,Anto Health Post,penta1,1.0,1.0,1.0
Amhara Regional Health Bureau,r9PL5VC6bRQ,Felfel Health Post,penta1,3.0,1.0,1.0
Amhara Regional Health Bureau,zDnXkHKYDHM,Ahtiy Health Post,penta1,0.0,1.0,1.0
Amhara Regional Health Bureau,OiYWPVRp3ft,Kedijo Health Post,ipv,2.0,0.0,2.0
Amhara Regional Health Bureau,Og8ybXj8eKB,Chali Health Post,ipv,0.0,0.0,1.0
